taxon,english,parent,rank,key
Biota,,,Unranked,MWEB0001
Animalia,,Biota,Kingdom,MWEB0002
Chordata,,Animalia,Phylum,MWEB0003
Vertebrata,,Chordata,Subphylum,MWEB0004
Mammalia,,Vertebrata,Class,MWEB0005
Artiodactyla,,Mammalia,Order,MWEB0006
Bovidae,,Artiodactyla,Family,MWEB0007
Ammotragus,,Bovidae,Genus,MWEB0008
Ammotragus lervia ,Barbary sheep,Ammotragus,Species,MWEB0009
Bison,,Bovidae,Genus,MWEB0010
Bison bonasus ,European bison,Bison,Species,MWEB0011
Capra,,Bovidae,Genus,MWEB0012
Capra ibex ,Alpine ibex,Capra,Species,MWEB0013
Capra pyrenaica ,Spanish ibex,Capra,Species,MWEB0014
Ovis,,Bovidae,Genus,MWEB0015
Ovis ammon OR Ovis gmelini musimon,European mouflon,Ovis,Species,MWEB0016
Rupicapra,,Bovidae,Genus,MWEB0017
Rupicapra pyrenaica ,"Chamois, southern",Rupicapra,Species,MWEB0018
Rupicapra rupicapra ,"Chamois, Alpine",Rupicapra,Species,MWEB0019
Cervidae,,Artiodactyla,Family,MWEB0020
Alces,,Cervidae,Genus,MWEB0021
Alces alces ,Elk,Alces,Species,MWEB0022
Axis,,Cervidae,Genus,MWEB0023
Axis axis ,Chital,Axis,Species,MWEB0024
Capreolus,,Cervidae,Genus,MWEB0025
Capreolus capreolus ,Roe deer,Capreolus,Species,MWEB0026
Cervus,,Cervidae,Genus,MWEB0027
Cervus elaphus ,Red deer,Cervus,Species,MWEB0028
Cervus nippon ,Sika deer,Cervus,Species,MWEB0029
Dama,,Cervidae,Genus,MWEB0030
Dama dama ,Fallow deer,Dama,Species,MWEB0031
Odocoileus ,,Cervidae,Genus,MWEB0032
Odocoileus virginianus ,White-tailed deer,Odocoileus ,Species,MWEB0033
Ursidae,,Artiodactyla,Family,MWEB0034
Sus,,Ursidae,Genus,MWEB0035
Sus scrofa ,Wild boar,Sus,Species,MWEB0036
Carnivora,,Mammalia,Order,MWEB0037
Canidae,,Carnivora,Family,MWEB0038
Canis,,Canidae,Genus,MWEB0039
Canis aureus ,Golden jackal,Canis,Species,MWEB0040
Canis lupus ,Grey wolf,Canis,Species,MWEB0041
Nyctereutes,,Canidae,Genus,MWEB0042
Nyctereutes procyonoides ,Raccoon dog,Nyctereutes,Species,MWEB0043
Vulpes ,,Canidae,Genus,MWEB0044
Vulpes vulpes ,Red fox,Vulpes ,Species,MWEB0045
Felidae,,Carnivora,Family,MWEB0046
Felis,,Felidae,Genus,MWEB0047
Felis silvestris ,Wildcat,Felis,Species,MWEB0048
Lynx,,Felidae,Genus,MWEB0049
Lynx lynx ,Eurasian lynx,Lynx,Species,MWEB0050
Lynx pardinus ,Iberian lynx,Lynx,Species,MWEB0051
Herpestidae,,Carnivora,Family,MWEB0052
Herpestes,,Herpestidae,Genus,MWEB0053
Herpestes auropunctatus,Small Indian mongoose,Herpestes,Species,MWEB0054
Herpestes ichneumon ,Egyptian mongoose,Herpestes,Species,MWEB0055
Mustelidae,small mustelid,Carnivora,Family,MWEB0056
Lutra,,Mustelidae,Genus,MWEB0057
Lutra lutra ,European otter,Lutra,Species,MWEB0058
Meles,,Mustelidae,Genus,MWEB0059
Meles meles ,Eurasian badger,Meles,Species,MWEB0060
Procyonidae,,Carnivora,Family,MWEB0061
Procyon,,Procyonidae,Genus,MWEB0062
Procyon lotor ,Raccoon,Procyon,Species,MWEB0063
Ursus,,Procyonidae,Genus,MWEB0064
Ursus arctos ,Brown bear,Ursus,Species,MWEB0065
Viverridae,,Carnivora,Family,MWEB0066
Genetta,,Viverridae,Genus,MWEB0067
Genetta genetta ,Common genet,Genetta,Species,MWEB0068
Ericnaceomorpha,,Mammalia,Order,MWEB0069
Erinaceidae,Hedgehog,Ericnaceomorpha,Family,MWEB0070
Atelerix,,Erinaceidae,Genus,MWEB0071
Atelerix algirus,Algerian hedgehog,Atelerix,Species,MWEB0072
Erinaceus,,Erinaceidae,Genus,MWEB0073
Erinaceus concolor ,Eastern hedgehog,Erinaceus,Species,MWEB0074
Erinaceus europaeus ,Western hedgehog,Erinaceus,Species,MWEB0075
Lagomorpha ,Lagomorph,Mammalia,Order,MWEB0076
Leporiadae,,Lagomorpha ,Family,MWEB0077
Lepus,,Leporiadae,Genus,MWEB0078
Lepus castroviejoi,Broom hare,Lepus,Species,MWEB0079
Lepus europaeus,Brown hare,Lepus,Species,MWEB0080
Lepus granatensis,Granada hare,Lepus,Species,MWEB0081
Lepus timidus,Mountain hare,Lepus,Species,MWEB0082
Oryctolagus,,Leporiadae,Genus,MWEB0083
Oryctolagus cuniculus,European rabbit,Oryctolagus,Species,MWEB0084
Rodentia,,Mammalia,Order,MWEB0085
Castoridae,,Rodentia,Family,MWEB0086
Castor,,Castoridae,Genus,MWEB0087
Castor fiber ,European beaver,Castor,Species,MWEB0088
Myocastoridae,,Rodentia,Family,MWEB0089
Myocastor,,Myocastoridae,Genus,MWEB0090
Myocastor coypus ,Coypu,Myocastor,Species,MWEB0091
Sciuridae,Small rodent,Rodentia,Family,MWEB0092
Atlantoxerus,,Sciuridae,Genus,MWEB0093
Atlantoxerus getulus,Barbary ground squirrel,Atlantoxerus,Species,MWEB0094
Marmota,,Sciuridae,Genus,MWEB0095
Marmota marmota ,Alpine marmot,Marmota,Species,MWEB0096
Sciurus,,Sciuridae,Genus,MWEB0097
Sciurus vulgaris ,Red squirrel,Sciurus,Species,MWEB0098
Spermophilus,,Sciuridae,Genus,MWEB0099
Spermophilus suslicus ,Spotted souslik,Spermophilus,Species,MWEB0100
Eulipotyphla,,Mammalia,Order,MWEB0101
Talpidae,mole,Eulipotyphla,Family,MWEB0102
Soricidae,shrew,Eulipotyphla,Family,MWEB0103
Cricetidae,vole,Rodentia,Family,MWEB0104
Muridae,mouse,Rodentia,Family,MWEB0105
Rattus,rat,Muridae,Genus,MWEB0106